2024-11-12-12-31-56-881099 TargetMoveAction {"id":2331723109414878891,"timestamp":1731414716.8801134,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.8924365043640137}
2024-11-12-12-31-56-900745 RenderEvent {"id":2331723170766972353,"timestamp":1731414716.894177,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-900745 TargetMoveAction {"id":2331723195568411307,"timestamp":1731414716.9007452,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.0315895080566406}
2024-11-12-12-31-56-921788 DrawBoxOnElementAction {"id":2331723252486370076,"timestamp":1731414716.9132562,"source":43012534837598440838554207203535458811,"xpath":"//*[@id='tracking']","box_data":{"opacity":"0.0","stroke-width":"4.0","stroke":"#ff0000","id":"guidance_box_tracking"}}
2024-11-12-12-31-56-922788 DrawBoxOnElementAction {"id":2331723252486370076,"timestamp":1731414716.9132562,"source":43012534837598440838554207203535458811,"xpath":"//*[@id='tracking']","box_data":{"opacity":"0.0","stroke-width":"4.0","stroke":"#ff0000","id":"guidance_box_tracking"}}
2024-11-12-12-31-56-922788 ShowElementAction {"id":2331723251765299964,"timestamp":1731414716.9132562,"source":43012534837598440838554207203535458811,"xpath":"//*[@id='guidance_box_tracking']"}
2024-11-12-12-31-56-922788 ShowElementAction {"id":2331723250838189691,"timestamp":1731414716.9132562,"source":43012534841289635711209294010113430011,"xpath":"//*[@id='guidance_arrow']"}
2024-11-12-12-31-56-922788 TaskUnacceptable {"id":2331723253428927155,"timestamp":1731414716.9132562,"source":43012534842203284775137215497745568251,"task":"tracking"}
2024-11-12-12-31-56-922788 ShowGuidance {"id":2331723250503719746,"timestamp":1731414716.9132562,"source":43012534805644937166282987768052814331,"task":"tracking"}
2024-11-12-12-31-56-922788 RenderEvent {"id":2331723253800885761,"timestamp":1731414716.9142535,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-922788 TargetMoveAction {"id":2331723289196282002,"timestamp":1731414716.9227881,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.102149486541748}
2024-11-12-12-31-56-945449 RenderEvent {"id":2331723353508256800,"timestamp":1731414716.9377072,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-945449 TargetMoveAction {"id":2331723388573335465,"timestamp":1731414716.9454486,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.1330246925354004}
2024-11-12-12-31-56-967088 RenderEvent {"id":2331723447276731501,"timestamp":1731414716.959478,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-967088 TargetMoveAction {"id":2331723484635463534,"timestamp":1731414716.9670885,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.081991195678711}
2024-11-12-12-31-56-984707 RenderEvent {"id":2331723534490453297,"timestamp":1731414716.9791756,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-56-985738 TargetMoveAction {"id":2331723561743812459,"timestamp":1731414716.9857383,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9324908256530762}
2024-11-12-12-31-57-006044 RenderEvent {"id":2331723614796853313,"timestamp":1731414716.9985335,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-57-006044 TargetMoveAction {"id":2331723651250258646,"timestamp":1731414717.0060437,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.0152697563171387}
2024-11-12-12-31-57-028241 RenderEvent {"id":2331723712215097566,"timestamp":1731414717.0207272,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-57-028241 TargetMoveAction {"id":2331723743940987505,"timestamp":1731414717.028241,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-1.1098623275756836}
2024-11-12-12-31-57-045712 RenderEvent {"id":2331723801233268222,"timestamp":1731414717.041201,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-57-046715 TargetMoveAction {"id":2331723821064975873,"timestamp":1731414717.046715,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9237051010131836}
2024-11-12-12-31-57-064737 RenderEvent {"id":2331723875363335731,"timestamp":1731414717.0580385,"source":43012487411096569512084431399159522453}
2024-11-12-12-31-57-064737 TargetMoveAction {"id":2331723901446143495,"timestamp":1731414717.0647368,"source":43012538155528703340491111473619854485,"direction":[0.0,1.0],"speed":-0.9010910987854004}
